source_id,title,canonical_url,content_selector,topic_tags,priority,language,publisher,selection_status,snapshot_status,fetched_at,sha256,notes
GSM-HELP-TRIP-002,Trung tâm giải đáp — Trong chuyến và sau chuyến,https://www.greensm.com/vn-vi/helps,section:2,"trip,support,post_trip",high,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,45f14b362c4e5d33ea8abfbfa4fa2b9cb4f05f2aa5fca111d428a14a637ced3e,Public official source; snapshot and checksum required before indexing.
GSM-HELP-LOST-ITEM-213,FAQ 2.13 — Bỏ quên đồ trên chuyến xe,https://www.greensm.com/vn-vi/helps,faq:2.13,"lost_item,post_trip",high,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,ea276d50f2868a79c5b0c67436cdeb7870a242f2113d379b474998797774205c,Public official source; snapshot and checksum required before indexing.
GSM-HELP-GHOST-TRIP-217,FAQ 2.17 — Hoàn thành chuyến nhưng xe không xuất hiện,https://www.greensm.com/vn-vi/helps,faq:2.17,"trip_no_show,complaint",high,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,51df9f931add95a72163b38b467ff40bd4dc5e136d5e1dc0202bbdf9a0e0184e,Public official source; snapshot and checksum required before indexing.
GSM-HELP-PAYMENT-301,FAQ 3.1 — Phương thức thanh toán,https://www.greensm.com/vn-vi/helps,faq:3.1,payment,medium,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,2982a25e66f06f26f792c01ce1ef88bc4368e7db06cde1d87d0680d0418761e0,Public official source; snapshot and checksum required before indexing.
GSM-HELP-FARE-302,FAQ 3.2 — Cước khi thay đổi điểm đón/đến,https://www.greensm.com/vn-vi/helps,faq:3.2,fare,medium,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,e33c84e0ac023b48265fe0ad819fecd1e7fa2d1908f2f7d64ae8b091f211628f,Public official source; snapshot and checksum required before indexing.
GSM-HELP-INVOICE-304,FAQ 3.4 — Xuất và kiểm tra hóa đơn VAT,https://www.greensm.com/vn-vi/helps,faq:3.4,"invoice,vat",critical,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,775aa3ed0e218fdb8ee07040e4dbd1405ab14c43f998d5e5d1ad046a87f32a04,Public official source; snapshot and checksum required before indexing.
GSM-HELP-INVOICE-DIFF-305,FAQ 3.5 — Chênh lệch ứng dụng và hóa đơn,https://www.greensm.com/vn-vi/helps,faq:3.5,"invoice,fare",critical,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,618ea91f5562376f283ce40a01897859044d4c95a809058a91b6ed15228e2634,Public official source; snapshot and checksum required before indexing.
GSM-HELP-CANCELLED-CHARGE-306,FAQ 3.6 — Hủy chuyến nhưng vẫn bị trừ tiền,https://www.greensm.com/vn-vi/helps,faq:3.6,"cancelled_trip,charge",critical,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,7223a5817f2ee6786f5d7ff51653b5db3dbb928335a37f4aaa42b4f40284f415,Public official source; snapshot and checksum required before indexing.
GSM-HELP-DUPLICATE-CHARGE-307,FAQ 3.7 — Tính cước hai lần,https://www.greensm.com/vn-vi/helps,faq:3.7,duplicate_charge,critical,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,b4cd3528733526fadf5ccad05913d414e2c8dbce32d32ae6e0487c2e841a67dd,Public official source; snapshot and checksum required before indexing.
GSM-HELP-PAYMENT-MISMATCH-308,FAQ 3.8 — Trả tiền mặt cho chuyến không tiền mặt,https://www.greensm.com/vn-vi/helps,faq:3.8,payment_mismatch,critical,vi,Green SM,selected,snapshotted,2026-08-10T07:00:31+07:00,f5206e29d67d7223908b81280df9a57235654d3fd3ecaa9f1e5392b0d720d560,Public official source; snapshot and checksum required before indexing.
